areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-09-28,4865,19968866,3634,18700879,1231.0,1267987.0
nation,England,E92000001,2022-09-27,6950,19964001,5117,18697245,1833.0,1266756.0
nation,England,E92000001,2022-09-26,7623,19957051,5542,18692128,2081.0,1264923.0
nation,England,E92000001,2022-09-25,6532,19949428,4802,18686586,1730.0,1262842.0
nation,England,E92000001,2022-09-24,5144,19942896,3884,18681784,1260.0,1261112.0
nation,England,E92000001,2022-09-23,5788,19937752,4376,18677900,1412.0,1259852.0
nation,England,E92000001,2022-09-22,6114,19931964,4504,18673524,1610.0,1258440.0
nation,England,E92000001,2022-09-21,6831,19925850,5001,18669020,1830.0,1256830.0
nation,England,E92000001,2022-09-20,7151,19919019,5128,18664019,2023.0,1255000.0
nation,England,E92000001,2022-09-19,5692,19911868,4012,18658891,1680.0,1252977.0
nation,England,E92000001,2022-09-18,3930,19906176,2875,18654879,1055.0,1251297.0
nation,England,E92000001,2022-09-17,3177,19902246,2377,18652004,800.0,1250242.0
nation,England,E92000001,2022-09-16,3698,19899069,2734,18649627,964.0,1249442.0
nation,England,E92000001,2022-09-15,4170,19895371,3000,18646893,1170.0,1248478.0
nation,England,E92000001,2022-09-14,4401,19891201,3196,18643893,1205.0,1247308.0
nation,England,E92000001,2022-09-13,4554,19886800,3376,18640697,1178.0,1246103.0
nation,England,E92000001,2022-09-12,4676,19882246,3327,18637321,1349.0,1244925.0
nation,England,E92000001,2022-09-11,3868,19877570,2827,18633994,1041.0,1243576.0
nation,England,E92000001,2022-09-10,2854,19873702,2114,18631167,740.0,1242535.0
nation,England,E92000001,2022-09-09,3094,19870848,2320,18629053,774.0,1241795.0
nation,England,E92000001,2022-09-08,3249,19867754,2369,18626733,880.0,1241021.0
