unit,geo\time,2022Q2 ,2022Q1 ,2021Q4 ,2021Q3 ,2021Q2 ,2021Q1 ,2020Q4 ,2020Q3 ,2020Q2 ,2020Q1 ,2019Q4 ,2019Q3 ,2019Q2 ,2019Q1 ,2018Q4 ,2018Q3 ,2018Q2 ,2018Q1 ,2017Q4 ,2017Q3 ,2017Q2 ,2017Q1 ,2016Q4 ,2016Q3 ,2016Q2 ,2016Q1 ,2015Q4 ,2015Q3 ,2015Q2 ,2015Q1 ,2014Q4 ,2014Q3 ,2014Q2 ,2014Q1 ,2013Q4 ,2013Q3 ,2013Q2 ,2013Q1 ,2012Q4 ,2012Q3 ,2012Q2 ,2012Q1 ,2011Q4 ,2011Q3 ,2011Q2 ,2011Q1 ,2010Q4 ,2010Q3 ,2010Q2 ,2010Q1 ,2009Q4 ,2009Q3 ,2009Q2 ,2009Q1 ,2008Q4 ,2008Q3 ,2008Q2 ,2008Q1 ,2007Q4 ,2007Q3 ,2007Q2 ,2007Q1 ,2006Q4 ,2006Q3 ,2006Q2 ,2006Q1 ,2005Q4 ,2005Q3 ,2005Q2 ,2005Q1 ,2004Q4 ,2004Q3 ,2004Q2 ,2004Q1
MIO_PKM,ES,6582 ,5106 ,5456 ,5022 ,3773 ,2548 ,2560 ,2963 ,958 ,5499 ,7214 ,7254 ,7390 ,6736 ,7188 ,7168 ,7424 ,6540 ,6873 ,6938 ,7178 ,6384 ,6690 ,6804 ,6866 ,6172 ,6604 ,6390 ,6604 ,5879 ,6331 ,6509 ,6432 ,5643 ,5974 ,6005 ,6215 ,5466 ,5495 ,5488 ,5779 ,5407 ,5628 ,5636 ,5938 ,5280 ,5558 ,5463 ,5700 ,5358 ,5805 ,5770 ,5901 ,5309 ,5891 ,6062 ,6009 ,5373 ,5183 ,5400 ,5566 ,5086 ,5382 ,5598 ,5582 ,4959 ,5293 ,5492 ,5398 ,4866 ,5079 ,5322 ,5109 ,4734
MIO_PKM,EU27_2007,: ,: ,: ,: ,: ,: ,: ,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,101088 ,102484 ,101816 ,94962 ,102071 ,104712 ,102778 ,95707 ,97145 ,101617 ,99485 ,92335 ,97059 ,98882 ,97523 ,89870 ,: ,: ,: ,: ,: ,: ,: ,:
MIO_PKM,EU27_2020,: ,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,88020 ,89553 ,89215 ,82599 ,89366 ,91664 ,89749 ,83256 ,84620 ,89061 ,87421 ,80579 ,85090 ,87117 ,86150 ,79002 ,: ,: ,: ,: ,: ,: ,: ,:
MIO_PKM,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,101540 ,102933 ,102278 ,95401 ,102529 ,105147 ,103226 ,96135 ,97584 ,101995 ,99866 ,92708 ,97438 ,99201 ,97847 ,90170 ,: ,: ,: ,: ,: ,: ,: ,:
MIO_PKM,FI,: ,811 ,962 ,880 ,586 ,475 ,589 ,774 ,359 ,1098 ,1305 ,1250 ,1205 ,1165 ,1216 ,1107 ,1095 ,1117 ,1158 ,1065 ,1035 ,987 ,1019 ,988 ,927 ,933 ,1070 ,1105 ,1008 ,931 ,959 ,973 ,971 ,971 ,1036 ,1008 ,1001 ,1007 ,1083 ,1014 ,967 ,971 ,996 ,998 ,925 ,963 ,1040 ,993 ,925 ,1005 ,1005 ,978 ,931 ,973 ,1050 ,1021 ,958 ,1024 ,996 ,957 ,899 ,937 ,939 ,900 ,854 ,889 ,902 ,877 ,812 ,877 ,873 ,834 ,797 ,842
MIO_PKM,FR,26508 ,20774 ,23378 ,22524 ,15849 ,14103 ,13048 ,19644 ,5422 ,18492 ,21201 ,25972 ,25588 ,23778 ,24690 ,24430 ,19478 ,23219 ,24706 ,24477 ,23739 ,22102 ,23500 ,23560 ,22695 ,22076 ,22653 ,23705 ,23722 ,21297 ,22736 ,23123 ,22649 ,20991 ,22812 ,23064 ,23304 ,21304 ,22909 ,23313 ,23444 ,21538 ,22797 ,23286 ,23899 ,21323 ,: c,: c,22290 ,20378 ,22417 ,22628 ,22948 ,20617 ,21737 ,22343 ,22084 ,20352 ,19655 ,21844 ,21344 ,19118 ,20003 ,20433 ,20634 ,18739 ,19030 ,19979 ,19693 ,18182 ,18769 ,19016 ,19123 ,17385
MIO_PKM,HR,175 ,141 ,141 ,165 ,127 ,105 ,116 ,117 ,60 ,155 ,194 ,168 ,185 ,177 ,199 ,177 ,193 ,179 ,196 ,169 ,195 ,175 ,201 ,189 ,219 ,218 ,293 ,212 ,222 ,213 ,252 ,207 ,234 ,224 ,231 ,219 ,248 ,237 ,280 ,246 ,284 ,270 ,353 ,288 ,415 ,401 ,446 ,411 ,439 ,414 ,453 ,448 ,462 ,439 ,458 ,435 ,448 ,428 ,439 ,379 ,381 ,374 ,379 ,320 ,323 ,300 ,325 ,300 ,303 ,299 ,321 ,317 ,295 ,280
MIO_PKM,HU,1917 ,1584 ,1642 ,1714 ,1183 ,896 ,944 ,1570 ,661 ,1679 ,1986 ,2003 ,1965 ,1798 ,1935 ,1991 ,2014 ,1830 ,1942 ,: c,: c,1778 ,1926 ,1963 ,1960 ,1778 ,1891 ,1937 ,1997 ,1784 ,1934 ,1981 ,2011 ,1812 ,2004 ,2038 ,1991 ,1809 ,2024 ,1998 ,1991 ,1793 ,2010 ,1959 ,2021 ,1773 ,1960 ,1954 ,1952 ,1815 ,2061 ,2024 ,2117 ,1870 ,2102 ,2105 ,2109 ,1976 ,2258 ,2099 ,2288 ,2106 ,2401 ,2441 ,2423 ,1935 ,2600 ,2430 ,2506 ,2207 ,2884 ,2690 ,2550 ,2282
MIO_PKM,IE,380 ,284 ,315 ,301 ,180 ,74 ,150 ,167 ,52 ,465 ,619 ,623 ,592 ,565 ,599 ,600 ,565 ,517 ,557 ,563 ,519 ,483 ,516 ,515 ,489 ,470 ,506 ,502 ,471 ,438 ,465 ,434 ,414 ,382 ,410 ,412 ,382 ,364 ,399 ,418 ,384 ,377 ,331 ,449 ,444 ,414 ,314 ,407 ,525 ,432 ,380 ,394 ,517 ,391 ,451 ,476 ,607 ,441 ,465 ,481 ,614 ,437 ,510 ,491 ,441 ,430 ,545 ,408 ,481 ,347 ,383 ,406 ,464 ,329
MIO_PKM,IT,11958 ,8110 ,9387 ,8505 ,5905 ,3623 ,4398 ,6765 ,2089 ,8813 ,14455 ,13753 ,14806 ,13146 ,14027 ,13576 ,14528 ,12905 ,13555 ,12940 ,13771 ,12513 ,13100 ,12728 ,13123 ,12063 ,12884 ,12718 ,13536 ,12019 ,12119 ,12019 ,13000 ,11745 ,11853 ,11727 ,12635 ,11507 ,11180 ,10988 ,11777 ,10895 ,9339 ,9937 ,10342 ,10342 ,10771 ,10980 ,11332 ,10266 ,10670 ,11327 ,11766 ,10641 ,11157 ,11672 ,11848 ,11090 ,11144 ,11972 ,11940 ,10929 ,11367 ,11958 ,12176 ,10937 ,11558 ,11898 ,11799 ,10890 ,11283 ,11829 ,11701 ,10765
