date,vals
2013-12-01,14590461.0
2014-01-01,13489165.0
2014-02-01,13270157.0
2014-03-01,15537424.0
2014-04-01,18096951.0
2014-05-01,19885384.0
2014-06-01,21322562.0
2014-07-01,23013368.0
2014-08-01,23811506.0
2014-09-01,21624008.0
2014-10-01,19742384.0
2014-11-01,14997192.0
2014-12-01,15505124.0
2015-01-01,14363036.0
2015-02-01,14199303.0
2015-03-01,16913143.0
2015-04-01,18550495.0
2015-05-01,20815479.0
2015-06-01,22284932.0
2015-07-01,24452746.0
2015-08-01,24967301.0
2015-09-01,22763694.0
2015-10-01,21037976.0
2015-11-01,15900552.0
2015-12-01,16275520.0
2016-01-01,15301599.0
2016-02-01,15616651.0
2016-03-01,18353068.0
2016-04-01,19435204.0
2016-05-01,21898280.0
2016-06-01,23693806.0
2016-07-01,26230393.0
2016-08-01,26634802.0
2016-09-01,24270501.0
2016-10-01,22351226.0
2016-11-01,17040613.0
2016-12-01,18250069.0
2017-01-01,16858802.0
2017-02-01,16684522.0
2017-03-01,19334842.0
2017-04-01,22156398.0
2017-05-01,23604218.0
2017-06-01,25274961.0
2017-07-01,27639075.0
2017-08-01,28170671.0
2017-09-01,25693433.0
2017-10-01,23232302.0
2017-11-01,17669601.0
2017-12-01,18548439.0
2018-01-01,17153007.0
2018-02-01,16944281.0
2018-03-01,19990006.0
2018-04-01,22135672.0
2018-05-01,24297505.0
2018-06-01,26369637.0
2018-07-01,28305631.0
2018-08-01,28754382.0
2018-09-01,26101000.0
2018-10-01,24355285.0
2018-11-01,18610375.0
2018-12-01,19369563.0
2019-01-01,17848364.0
2019-02-01,17672108.0
2019-03-01,20655410.0
2019-04-01,23022280.0
2019-05-01,25043661.0
2019-06-01,26890638.0
2019-07-01,28587919.0
2019-08-01,29150270.0
2019-09-01,26055821.0
2019-10-01,24253739.0
2019-11-01,18466462.0
2019-12-01,19902219.0
2020-01-01,17982245.0
2020-02-01,17450560.0
2020-03-01,9349983.0
2020-04-01,319520.0
2020-05-01,366125.0
2020-06-01,650878.0
2020-07-01,3294242.0
2020-08-01,6360391.0
2020-09-01,5226993.0
2020-10-01,3524906.0
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
